streams,bpm,energy_%,speechiness_%
449701773,110,38,3
67070410,100,66,4
116334601,142,79,7
433356509,140,37,7
165584767,116,73,4
367814306,120,85,3
477033549,92,79,6
156214700,110,79,3
448843705,120,97,11
1357608774,80,61,6
294352144,115,69,31
972164968,76,67,4
920045682,172,78,6
2420461338,99,56,5
1947371785,136,57,8
244658767,150,14,10
68216992,92,31,5
223582566,95,87,5
471819764,102,83,5
272377463,145,55,6
1361425037,110,86,4
149778242,95,77,6
116599790,94,82,13
148469433,142,91,3
497225336,145,74,5
88791109,121,80,3
125917280,140,76,3
105062254,137,67,6
95623148,104,85,3
144584800,92,76,3
298063749,146,45,38
166570053,120,43,4
83021468,144,81,4
139836056,94,56,3
303216294,94,79,6
221409663,113,74,5
58890931,148,76,3
81419389,98,73,26
156777415,140,38,4
284908316,100,28,3
93438910,140,79,29
363472647,100,94,23
372476382,100,65,3
380726517,132,70,5
56533272,142,67,3
175399345,176,63,7
203221468,140,70,3
1624165576,105,90,6
134294498,135,77,3
70069745,128,59,4
609293408,101,69,7
671365962,122,50,5
362361576,105,56,13
93587665,83,36,33
1223481149,77,76,28
1022258230,140,25,26
263453310,158,95,5
1435127549,176,65,32
236857112,98,57,2
147538971,107,40,3
698086140,109,57,3
723894473,109,74,7
34450974,148,81,4
403097450,158,76,5
309483971,94,73,6
319566866,96,51,4
909001996,100,67,3
1061966512,105,68,4
32526947,125,66,3
124988687,170,63,27
103787664,115,90,6
134255790,122,89,9
301051721,105,80,8
156338624,133,84,4
152850295,100,68,4
309653982,120,45,10
297328960,177,30,3
332506354,142,72,5
480507035,144,84,4
1065580332,120,86,10
122763672,135,51,6
445763624,107,78,4
1365184,105,74,7
184308753,108,77,20
789753877,147,79,3
323358833,115,88,4
606361689,174,64,32
120972253,90,71,8
338564981,141,25,4
1606986953,82,49,4
1301799902,92,43,3
140187018,116,80,4
1897517891,124,86,11
107642809,125,89,9
551305895,90,69,10
556585270,83,64,34
2303033973,124,79,8
646886885,140,60,3
222612678,154,91,4
1814349763,150,70,6
872137015,186,61,5
571386359,166,48,3
304079786,107,83,9
174006928,87,52,24
284785823,82,64,7
163284000,114,28,4
246390068,148,52,5
482257456,140,57,29
168684524,101,81,6
78489819,140,84,6
195516622,88,66,29
1260594497,180,65,12
428685680,133,89,24
1024858327,108,55,6
838586769,80,43,3
199386237,75,62,46
972509632,121,64,10
213438580,140,62,8
1555511105,126,90,3
210038833,102,94,11
227918678,82,34,4
826623384,121,78,6
1802514301,103,83,6
1329090101,108,76,9
181831132,85,47,10
462791599,125,69,5
348647203,120,39,6
366599607,94,57,3
90598517,130,80,5
1479264469,110,74,4
1449779435,150,63,4
1159176109,107,65,3
769213520,140,41,5
741301563,119,37,3
807561936,93,23,3
834129063,133,63,18
663832097,202,60,4
446390129,134,24,4
690104769,105,51,3
485285717,160,81,5
520034544,148,82,4
476244795,151,47,4
629173063,162,54,4
404664135,92,77,3
98709329,152,65,7
110849052,65,26,8
460492795,147,61,3
94005786,150,69,9
395591396,140,36,3
389771964,139,15,4
403939487,95,58,3
481697415,115,57,3
110073250,125,43,5
88092256,76,20,5
351636786,101,87,3
473248298,143,32,6
73981293,119,66,23
155653938,78,59,16
395591396,96,25,3
429504768,180,58,4
242767149,126,76,5
65362788,150,44,6
67540165,90,74,4
62019074,160,68,12
135723538,114,94,4
295998468,113,32,5
261116938,147,72,3
136689549,100,59,3
135611421,155,77,9
356709897,107,39,16
110649992,112,54,5
301869854,166,57,7
127027715,107,36,4
57144458,81,68,38
56870689,150,46,7
323437194,110,32,4
317726339,108,40,6
116144341,130,74,36
328207708,164,56,7
608228647,114,68,4
180577478,93,88,4
809306935,90,69,8
49262961,128,68,8
614555082,97,80,9
245350949,152,71,8
178660459,175,34,5
51641685,116,55,8
78139948,80,59,6
322336177,93,86,39
1007612429,122,54,5
326792833,122,79,10
391251368,135,58,3
349585590,109,47,5
339659802,93,74,5
674772936,125,81,9
432719968,206,45,8
1309887447,130,77,3
119238316,121,51,8
116903579,123,73,5
888046992,122,67,4
200660871,143,79,3
130655803,121,77,4
1887039593,166,66,18
88103848,135,64,3
101114984,87,59,21
1575467011,111,66,3
91656026,110,84,19
1042568408,130,61,7
1735441776,179,51,15
726837877,93,73,4
53933526,78,49,5
267758538,180,58,31
74601456,86,41,3
920797189,88,85,22
539595276,97,78,5
1367810478,134,80,5
578207856,116,76,10
775542072,170,70,8
863625566,140,55,23
656013912,118,76,4
1056760045,65,24,4
611994237,120,67,4
1230855859,176,33,5
582981380,180,61,36
1858144199,144,43,7
240684449,133,61,27
583687007,93,52,3
63803529,122,62,3
466214729,88,73,5
236940480,170,44,4
41924466,94,50,11
225259194,170,47,16
393230256,90,70,8
287201015,78,29,3
599770206,94,58,3
342779426,73,41,14
673801126,176,86,18
1168642797,128,63,4
540539717,120,60,6
383550148,82,62,4
530511203,95,47,3
37307967,118,94,29
510876816,123,86,3
1445941661,90,68,18
1763363713,110,57,5
374191487,96,82,32
108809090,88,55,11
436695353,98,85,5
421040617,110,68,4
501541661,80,49,8
354065229,110,53,6
1143647827,110,36,11
311395144,78,42,19
672656250,129,62,6
1256880657,181,60,9
1692897992,114,77,10
245095641,144,65,35
686734357,101,68,4
261414174,84,63,5
610045621,154,69,7
1115880852,148,62,3
594482982,146,37,30
566954746,120,79,6
BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,110,69,3
374706940,136,30,5
184937148,141,63,36
31959571,108,48,4
167076418,94,36,5
824420218,180,94,5
363467642,122,79,5
1127468248,85,52,3
60680939,148,73,7
247737946,120,73,11
1699402402,91,72,4
154797871,120,71,4
198883004,106,79,9
124407432,110,35,3
850608354,169,45,13
376333030,118,55,17
516784627,92,66,16
1608045237,112,60,6
506778838,140,91,21
1472799873,105,76,3
513643924,178,77,22
261286503,108,42,9
783706581,173,29,4
422691058,101,90,6
1062345656,120,62,23
1252563873,144,80,12
851070493,133,61,4
263894529,158,83,28
345903614,120,90,7
951637566,129,46,5
956865266,102,89,13
427486004,124,84,5
156658366,90,45,3
624515457,161,52,31
777765388,120,33,5
412795151,81,57,3
1138474110,150,70,9
355219175,105,84,10
290228626,79,67,4
1062956628,146,61,3
1180094974,124,37,5
1456081449,126,85,4
432702334,121,74,5
489945871,136,60,14
465959382,102,63,5
1223481149,77,74,23
2864791672,98,59,10
2288695111,84,48,24
720825549,102,82,11
2086124197,120,26,3
1690192927,117,91,7
991336132,72,33,4
593917618,168,47,26
200972675,94,69,8
71014967,145,88,5
560222750,134,61,33
1806617704,148,93,8
77337771,127,89,6
528544703,172,66,16
865640097,90,46,8
2159346687,96,40,3
211372494,138,67,4
651732901,120,72,4
608334048,125,74,4
863756573,123,86,13
797402345,81,54,24
1695712020,171,85,20
1759567999,91,32,5
223319934,84,76,11
54937991,115,54,28
226897599,125,89,3
258316038,122,69,7
596152090,92,54,7
177129919,90,75,8
